,NM_UE,NM_PARTIDO,DS_CARGO,DS_NACIONALIDADE,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,ST_REELEICAO
25819,PRESIDENTE BERNARDES,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PREFEITO,123077,N
25830,CAMPINAS,PATRIOTA,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO,5076367,N
25878,SÃO ROQUE,AVANTE,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,CONTADOR,312303,N
25918,MARINÓPOLIS,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO CIVIL APOSENTADO,123077,N
25927,TAQUARITUBA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,123077,N
25993,CABREÚVA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR,349228,N
26012,JACUPIRANGA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,FARMACÊUTICO,123077,N
26024,BERTIOGA,PARTIDO TRABALHISTA CRISTÃO,PREFEITO,BRASILEIRA NATA,36,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO,764828,N
26055,ITAJU,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,52,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
26250,BARBOSA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
26333,LIMEIRA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,866456,N
26336,MIRASSOLÂNDIA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,69,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PREFEITO,123077,S
26341,CASA BRANCA,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
26344,SÃO VICENTE,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,PUBLICITÁRIO,1619685,N
26354,TUPÃ,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,728209,N
26473,ARARAQUARA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO CIVIL APOSENTADO,2553033,N
26574,CAMPINAS,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",5076367,N
26577,PRESIDENTE PRUDENTE,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,1026109,N
26587,VERA CRUZ,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,57,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,123077,N
26607,POÁ,AVANTE,PREFEITO,BRASILEIRA NATA,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
26636,POMPÉIA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,52,FEMININO,SUPERIOR COMPLETO,BRANCA,PREFEITO,328869,S
26637,TAUBATÉ,CIDADANIA,PREFEITO,BRASILEIRA NATA,29,FEMININO,SUPERIOR COMPLETO,BRANCA,OUTROS,1149422,N
26697,ICÉM,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,123077,N
26747,SANTO ANTÔNIO DO ARACANGUÁ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,70,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,AGRICULTOR,123077,N
26749,JOÃO RAMALHO,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,51,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,EMPRESÁRIO,123077,N
26811,VINHEDO,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,123077,N
26902,ARIRANHA,PODEMOS,PREFEITO,BRASILEIRA NATA,38,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
26913,GUARANTÃ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,69,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
26921,JANDIRA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR INCOMPLETO,PRETA,OUTROS,305821,N
26931,GLICÉRIO,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
27001,BOTUCATU,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,706171,N
27002,QUEIROZ,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
27042,SÃO LOURENÇO DA SERRA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,123077,N
27043,CARAPICUÍBA,PARTIDO COMUNISTA DO BRASIL,PREFEITO,BRASILEIRA NATA,37,FEMININO,SUPERIOR COMPLETO,PRETA,MÉDICO,1419315,N
27047,SANTA ROSA DE VITERBO,PATRIOTA,PREFEITO,BRASILEIRA NATA,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,123077,N
27052,POÁ,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
27065,QUEIROZ,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,49,FEMININO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
27090,FERNANDÓPOLIS,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,849964,N
27134,SANTA ISABEL,AVANTE,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,123077,N
27135,ARANDU,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,69,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
27198,PAULISTÂNIA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,44,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DIRETOR DE EMPRESAS,123077,N
27247,PILAR DO SUL,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,68,MASCULINO,SUPERIOR COMPLETO,AMARELA,ODONTÓLOGO,239743,N
27270,BARBOSA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO,123077,N
27280,ARAÇOIABA DA SERRA,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,45,MASCULINO,SUPERIOR INCOMPLETO,PARDA,POLICIAL CIVIL,123077,N
27352,NOVA CAMPINA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA (NATURALIZADA),70,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,AGRICULTOR,123077,N
27353,SANTA BRANCA,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,34,FEMININO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
27418,LARANJAL PAULISTA,CIDADANIA,PREFEITO,BRASILEIRA NATA,62,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
27460,LINDÓIA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
27462,CATIGUÁ,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,50,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,123077,N
27479,LOUVEIRA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
27503,NANTES,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRICULTOR,123077,N
27597,FLORA RICA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,PARDA,PECUARISTA,123077,N
27611,PIRACICABA,PARTIDO COMUNISTA DO BRASIL,PREFEITO,BRASILEIRA NATA,36,MASCULINO,SUPERIOR COMPLETO,PARDA,ADMINISTRADOR,395975,N
27637,ATIBAIA,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,603050,N
27641,BOITUVA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
27675,GUARUJÁ,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,1482035,N
27752,PARAPUÃ,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,59,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,AGRICULTOR,123077,N
27761,LEME,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,487462,N
