,NM_UE,NM_PARTIDO,DS_CARGO,DS_NACIONALIDADE,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,ST_REELEICAO
42680,SÃO JOÃO DA BOA VISTA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,58,FEMININO,SUPERIOR INCOMPLETO,BRANCA,OUTROS,123077,N
42725,IPERÓ,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,MEMBRO DAS FORÇAS ARMADAS,155892,N
42805,MAIRINQUE,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,403928,N
42847,SÃO ROQUE,PODEMOS,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,312303,N
42889,SANTA ROSA DE VITERBO,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,70,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
42901,MOGI MIRIM,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,67,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,346709,N
42919,CORUMBATAÍ,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,76,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
42932,RIBEIRÃO DOS ÍNDIOS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
43010,TEODORO SAMPAIO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,323055,N
43014,PIRACICABA,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,40,FEMININO,SUPERIOR COMPLETO,BRANCA,JORNALISTA E REDATOR,395975,N
43054,SÃO JOSÉ DO RIO PARDO,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
43077,MOGI GUAÇU,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,PRETA,BANCÁRIO E ECONOMIÁRIO,539416,N
43214,SANTA ERNESTINA,CIDADANIA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
43268,BURI,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
43271,CANANÉIA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,36,MASCULINO,SUPERIOR COMPLETO,PRETA,OUTROS,297644,N
43292,ITU,PARTIDO TRABALHISTA CRISTÃO,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,555246,N
43339,INDAIATUBA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,64,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,MECÂNICO DE MANUTENÇÃO,650272,N
43381,ATIBAIA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR,603050,N
43423,SÃO JOSÉ DA BELA VISTA,PODEMOS,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
43460,AMPARO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,64,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,277726,N
43470,PINDORAMA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,243316,N
43483,ILHA SOLTEIRA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,244628,S
43486,SALES,PATRIOTA,PREFEITO,BRASILEIRA NATA,61,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,123077,N
43492,SÃO SEBASTIÃO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,1332893,S
43500,JUNDIAÍ,REDE SUSTENTABILIDADE,PREFEITO,BRASILEIRA NATA,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,2861007,N
43507,SETE BARRAS,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,38,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,AGRICULTOR,123077,N
43576,CÂNDIDO MOTA,PODEMOS,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
43579,PIQUEROBI,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,45,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
43694,SARUTAIÁ,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
43732,ARAÇATUBA,PARTIDO TRABALHISTA CRISTÃO,PREFEITO,BRASILEIRA NATA,35,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,PUBLICITÁRIO,2781589,N
43753,ITOBI,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,63,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,OUTROS,123077,N
43804,SANTA CRUZ DA ESPERANÇA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,71,MASCULINO,LÊ E ESCREVE,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
43832,RIFAINA,CIDADANIA,PREFEITO,BRASILEIRA NATA,72,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
43914,JACAREÍ,PARTIDO DA MULHER BRASILEIRA,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR,689702,N
43940,URUPÊS,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,63,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
44001,FLÓRIDA PAULISTA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,39,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,123077,N
44093,MARABÁ PAULISTA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO,123077,N
44096,ITARIRI,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,69,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,AGRICULTOR,123077,N
44133,CAÇAPAVA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,424108,N
44154,GUAÍRA,PARTIDO DA MOBILIZAÇÃO NACIONAL,PREFEITO,BRASILEIRA NATA,67,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,COMERCIANTE,202181,N
44180,ITAPIRAPUÃ PAULISTA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,37,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
44185,MIRANDÓPOLIS,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,27,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
44199,DESCALVADO,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
44201,PRESIDENTE BERNARDES,PODEMOS,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
44210,FERNANDO PRESTES,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
44217,BARRINHA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,59,FEMININO,SUPERIOR COMPLETO,PARDA,PREFEITO,123077,N
44229,CAFELÂNDIA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR,201039,N
44238,SÃO FRANCISCO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS,123077,N
44249,ITATINGA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
44265,GUARANI D'OESTE,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,123077,N
44279,SANTA LÚCIA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,61,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
44281,VIRADOURO,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,49,MASCULINO,LÊ E ESCREVE,BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,190604,N
44300,VARGEM,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,66,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PECUARISTA,123077,N
44308,PEREIRAS,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
44330,COTIA,PARTIDO DA CAUSA OPERÁRIA,PREFEITO,BRASILEIRA NATA,40,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS,975292,N
44369,BARRA DO CHAPÉU,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS,181332,N
44389,ITAPORANGA,CIDADANIA,PREFEITO,BRASILEIRA NATA,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS,123077,N
44428,SÃO CAETANO DO SUL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,2241374,N
44438,RIBEIRÃO PIRES,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,1019523,S
44441,ITARIRI,DEMOCRACIA CRISTÃ,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,MILITAR REFORMADO,123077,N
44480,MAIRINQUE,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,46,FEMININO,SUPERIOR COMPLETO,SEM INFORMAÇÃO,DIRETOR DE ESTABELECIMENTO DE ENSINO,403928,N
44566,SANTOS,PARTIDO NOVO,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,1973923,N
44592,TATUÍ,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,47,FEMININO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO FUNDAMENTAL,461725,N
44600,IEPÊ,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,123077,N
44636,ITATIBA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,434787,N
44673,NOVA GRANADA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,56,FEMININO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE,164842,N
44755,ITUPEVA,PARTIDO DA MOBILIZAÇÃO NACIONAL,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,551834,N
44775,MONTEIRO LOBATO,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,66,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
44834,CRISTAIS PAULISTA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,39,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO,123077,S
44862,ITAPEVI,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,48,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,ADMINISTRADOR,1552741,N
44867,JABOTICABAL,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR,442045,N
44928,SANTANA DE PARNAÍBA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR,1743718,N
44951,NANTES,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,51,FEMININO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
44986,COLÔMBIA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,42,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
45043,BARRETOS,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,308606,N
45155,SANTOS,CIDADANIA,PREFEITO,BRASILEIRA NATA,80,MASCULINO,SUPERIOR COMPLETO,BRANCA,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,1973923,N
45264,BAURU,PARTIDO DA CAUSA OPERÁRIA,PREFEITO,BRASILEIRA NATA,59,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,ELETRICISTA E ASSEMELHADOS,607353,N
45281,MATÃO,PATRIOTA,PREFEITO,BRASILEIRA NATA,72,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),179969,N
45288,ICÉM,AVANTE,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO,123077,N
45298,TIETÊ,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,73,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,179619,N
45312,SANDOVALINA,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,29,FEMININO,SUPERIOR INCOMPLETO,BRANCA,PREFEITO,123077,S
45417,PRESIDENTE PRUDENTE,AVANTE,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,1026109,N
45524,SERRANA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,67,MASCULINO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE,226686,N
45659,ITABERÁ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
45662,ENGENHEIRO COELHO,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,123077,N
45681,PAULÍNIA,REDE SUSTENTABILIDADE,PREFEITO,BRASILEIRA NATA,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,3365885,N
45686,NOVA ALIANÇA,AVANTE,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
45723,ASSIS,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,MILITAR REFORMADO,237974,N
45811,AGUDOS,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
45834,SOROCABA,AVANTE,PREFEITO,BRASILEIRA NATA,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR,2509444,N
45856,CAJURU,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA (NATURALIZADA),66,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRICULTOR,123077,S
45864,RAFARD,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,37,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR,123077,N
45889,FLORA RICA,PODEMOS,PREFEITO,BRASILEIRA NATA,62,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
45950,SÃO MIGUEL ARCANJO,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,74,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
45968,BROTAS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,43,FEMININO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
45971,DIVINOLÂNDIA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,66,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,MÉDICO,123077,N
46001,LORENA,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,460975,N
46081,LOUVEIRA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,60,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO,123077,N
46108,GUARUJÁ,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,1482035,N
46179,MONTE AZUL PAULISTA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,204855,S
46181,PALMITAL,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,123077,N
46195,ICÉM,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,74,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
46215,VARGEM GRANDE DO SUL,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,71,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO,123077,N
46244,DIADEMA,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,VEREADOR,2314690,N
46276,PEDREIRA,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO,123077,N
46307,BASTOS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,53,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,CONTADOR,123077,N
46349,SANTO ANDRÉ,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,55,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO,3792581,N
46358,RUBINÉIA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
46410,MARTINÓPOLIS,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,FARMACÊUTICO,170310,N
46435,JARINU,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,44,FEMININO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
46540,PONTES GESTAL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,54,FEMININO,SUPERIOR INCOMPLETO,PRETA,VEREADOR,123077,N
46575,RINCÃO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
46647,VITÓRIA BRASIL,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,44,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
46693,GAVIÃO PEIXOTO,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,51,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,ADMINISTRADOR,123077,N
46702,IARAS,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,49,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,123077,N
46764,AMPARO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,277726,N
46766,GUARUJÁ,REDE SUSTENTABILIDADE,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,1482035,N
46825,SÃO JOSÉ DOS CAMPOS,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,1845489,N
46877,PENÁPOLIS,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,337980,N
46898,JAÚ,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,49,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,POLICIAL MILITAR,784852,N
46902,CAPÃO BONITO,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,188516,N
46951,SANTA SALETE,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS,123077,N
46999,SANTÓPOLIS DO AGUAPEÍ,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
47068,MONGAGUÁ,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),216567,N
47070,GUARACI,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,55,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,CONTADOR,123077,N
47100,CATANDUVA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,1213625,N
47107,ILHABELA,PARTIDO REPUBLICANO DA ORDEM SOCIAL,PREFEITO,BRASILEIRA NATA,54,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,CONTADOR,310914,N
47155,SANTA ISABEL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA (NATURALIZADA),53,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,123077,N
47181,SANTO ANTÔNIO DA ALEGRIA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
47258,BURITAMA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,AGRICULTOR,123077,N
47300,CAJURU,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRÔNOMO,123077,N
47447,SANDOVALINA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO,123077,N
47522,JACAREÍ,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,689702,N
47586,SANTA ERNESTINA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,CONTADOR,123077,N
47632,CAÇAPAVA,PARTIDO SOCIAL CRISTÃO,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,PRETA,EMPRESÁRIO,424108,N
47637,LUTÉCIA,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO FUNDAMENTAL,123077,N
47648,NATIVIDADE DA SERRA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,68,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
47722,ALTAIR,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,155743,N
